condition,n_aggr_cores,trial,agg_bw_gbps,sf_evict_total,sf_evict_rate,sf_victim_retry,tor_drd_pref,pmu_raw
A,13,7,13.8,283070,56614.0,0,9566811170,"{""unc_cha_core_snp.evict_one"": 99515, ""unc_cha_core_snp.evict_gtone"": 183555, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9566811170, ""unc_cha_tor_inserts.ia_drd"": 4537134807}"
A,13,8,13.85,319764,63953.0,0,9569862744,"{""unc_cha_core_snp.evict_one"": 121866, ""unc_cha_core_snp.evict_gtone"": 197898, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9569862744, ""unc_cha_tor_inserts.ia_drd"": 4583325744}"
A,13,9,13.1,324166,64833.0,0,9234092707,"{""unc_cha_core_snp.evict_one"": 116098, ""unc_cha_core_snp.evict_gtone"": 208068, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9234092707, ""unc_cha_tor_inserts.ia_drd"": 5178016912}"
A,15,0,15.38,401207,80241.0,0,10811636681,"{""unc_cha_core_snp.evict_one"": 183733, ""unc_cha_core_snp.evict_gtone"": 217474, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10811636681, ""unc_cha_tor_inserts.ia_drd"": 4884871079}"
A,15,1,15.33,358074,71615.0,0,10806798978,"{""unc_cha_core_snp.evict_one"": 124762, ""unc_cha_core_snp.evict_gtone"": 233312, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10806798978, ""unc_cha_tor_inserts.ia_drd"": 4876348712}"
A,15,2,15.23,400805,80161.0,0,10894875693,"{""unc_cha_core_snp.evict_one"": 188550, ""unc_cha_core_snp.evict_gtone"": 212255, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10894875693, ""unc_cha_tor_inserts.ia_drd"": 4669262976}"
A,15,3,15.33,355786,71157.0,0,10838471549,"{""unc_cha_core_snp.evict_one"": 136408, ""unc_cha_core_snp.evict_gtone"": 219378, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10838471549, ""unc_cha_tor_inserts.ia_drd"": 4832565034}"
A,15,4,15.23,360902,72180.0,0,10635400068,"{""unc_cha_core_snp.evict_one"": 158383, ""unc_cha_core_snp.evict_gtone"": 202519, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10635400068, ""unc_cha_tor_inserts.ia_drd"": 4913567935}"
A,15,5,15.41,366565,73313.0,0,10441022451,"{""unc_cha_core_snp.evict_one"": 152989, ""unc_cha_core_snp.evict_gtone"": 213576, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10441022451, ""unc_cha_tor_inserts.ia_drd"": 5311362374}"
A,15,6,15.39,319487,63897.0,0,10792451029,"{""unc_cha_core_snp.evict_one"": 110671, ""unc_cha_core_snp.evict_gtone"": 208816, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10792451029, ""unc_cha_tor_inserts.ia_drd"": 4942464113}"
A,15,7,15.46,323252,64650.0,0,10503958954,"{""unc_cha_core_snp.evict_one"": 122038, ""unc_cha_core_snp.evict_gtone"": 201214, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10503958954, ""unc_cha_tor_inserts.ia_drd"": 5304308576}"
A,15,8,15.38,334940,66988.0,0,10820932867,"{""unc_cha_core_snp.evict_one"": 130995, ""unc_cha_core_snp.evict_gtone"": 203945, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10820932867, ""unc_cha_tor_inserts.ia_drd"": 4897114713}"
A,15,9,15.38,338253,67651.0,0,10356108833,"{""unc_cha_core_snp.evict_one"": 131490, ""unc_cha_core_snp.evict_gtone"": 206763, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 10356108833, ""unc_cha_tor_inserts.ia_drd"": 5345991349}"
B,1,0,1.02,598302,119660.0,0,2957374,"{""unc_cha_core_snp.evict_one"": 360104, ""unc_cha_core_snp.evict_gtone"": 238198, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 2957374, ""unc_cha_tor_inserts.ia_drd"": 1126048627}"
B,1,1,1.03,201752,40350.0,0,6113848,"{""unc_cha_core_snp.evict_one"": 141837, ""unc_cha_core_snp.evict_gtone"": 59915, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6113848, ""unc_cha_tor_inserts.ia_drd"": 1143280941}"
