cell,trial,victim_node,aggressor_node,victim_wss_mb,llc_capacity_mb,aggressor_region_gb_per_core,aggressor_cores,agg_bw_gbps,agg_progress_bw_gbps_untrusted,cycles_per_load,tsc_hz,latency_ns,l2_hit,l3_hit,l3_miss,l3_miss_fraction,longest_lat_cache_miss,sf_evict,cha_cxl_drd,cxl_flits_valid,imc_cas_rd,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample
QC,28,2,-1,32,60,1,0,0.0,0,77.017,1899982041,40.54,1683054,224719191,9683,4.3e-05,41884,28,0,2786,392,0,1,0,0,786099e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,29,2,-1,32,60,1,0,0.0,0,76.991,1899983971,40.52,1673832,224812087,11306,5e-05,51625,40,0,2699,393,0,1,0,0,7a5af9200000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
AC-VL,0,0,2,32,60,1,2,17.12,1.95,79.532,1899983271,41.86,1970838,215135470,4288794,0.019546,4535200,4937,0,3939522797,569,1,0,0,2,7a343ec00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,1,0,2,32,60,1,2,17.12,1.95,79.196,1899980251,41.68,2024748,216616654,3860832,0.017511,4133219,8282,0,3938589384,621,1,0,0,2,7eb1c9000000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,2,0,2,32,60,1,2,17.12,1.94,78.506,1899985900,41.32,1960954,219787995,2759109,0.012398,3022261,5040,0,3936886539,528,1,0,0,2,7695dec00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,3,0,2,32,60,1,2,17.12,1.95,78.87,1899982169,41.51,1956054,218066997,3242655,0.014652,3500936,5380,0,3937238614,548,1,0,0,2,744535600000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,4,0,2,32,60,1,2,17.12,1.95,78.521,1899983107,41.33,1988914,219767706,2653183,0.011929,2918669,5042,0,3937412765,524,1,0,0,2,71a36d400000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,5,0,2,32,60,1,2,17.12,1.95,78.688,1899982957,41.42,1989225,218767929,3042536,0.013717,3319287,5013,0,3937514555,540,1,0,0,2,778037800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,6,0,2,32,60,1,2,17.12,1.95,79.211,1899980961,41.69,1988516,216188010,3959440,0.017985,4230386,5101,0,3937854149,564,1,0,0,2,7e4e73e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,7,0,2,32,60,1,2,17.12,1.95,78.12,1899984680,41.12,1966756,221136730,2269923,0.01016,2529510,4812,0,3937963309,512,1,0,0,2,7bb4d4e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,8,0,2,32,60,1,2,17.12,1.95,78.58,1899983794,41.36,1996899,219362602,2880392,0.012961,3139299,4625,0,3938032725,530,1,0,0,2,708511e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,9,0,2,32,60,1,2,17.12,1.95,79.264,1899983061,41.72,1988025,215908624,4086237,0.018574,4371401,4870,0,3937508889,569,1,0,0,2,79212c000000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,10,0,2,32,60,1,2,17.12,1.95,79.321,1899984969,41.75,1981907,215767041,4096442,0.018632,4382695,4922,0,3937624424,569,1,0,0,2,737bfea00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
