condition,n_aggressor_cores,pf_disabled,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
Q,0,1,33554432,7,81.424,343875552,17050.1,182975,0.0,11634.8,7657.1,0.9829,3046738.7,0.0,10.73
Q,0,1,33554432,8,81.462,343716768,27910.0,299565,0.0,18687.4,13579.7,0.9699,3876257.1,0.0,10.73
Q,0,1,33554432,9,81.448,343772448,33910.9,363951,0.0,20614.2,11104.9,0.9754,4150278.2,0.0,10.73
Q,0,1,33554432,10,81.446,343784480,31594.5,339091,0.0,18554.5,10877.2,0.9759,3947068.4,0.0,10.73
Q,0,1,33554432,11,81.447,343779648,24562.0,263604,0.0,17621.7,8347.4,0.9814,3599908.5,0.0,10.73
Q,0,1,33554432,12,81.431,343844416,18839.5,202249,0.0,16211.1,8581.4,0.9808,3323018.3,0.0,10.74
Q,0,1,33554432,13,81.44,343808704,13878.3,148980,0.0,9384.2,5839.6,0.9869,2769352.7,0.0,10.73
Q,0,1,33554432,14,81.479,343642784,30659.1,329075,0.0,19464.9,13352.4,0.9706,4023504.5,0.0,10.73
Q,0,1,33554432,15,81.435,343827872,31096.1,333739,0.0,19792.0,11709.3,0.9741,4097768.0,0.0,10.73
Q,0,1,33554432,16,81.44,343808896,25482.3,273479,0.0,18234.8,9623.2,0.9785,3618765.2,0.0,10.73
Q,0,1,33554432,17,81.443,343794304,15441.8,165711,0.0,11152.0,6137.8,0.9863,2914722.7,0.0,10.73
Q,0,1,33554432,18,81.442,343800448,25050.3,268842,0.0,19702.5,7532.4,0.9832,3654267.3,0.0,10.73
Q,0,1,33554432,19,81.435,343831296,23513.1,252352,0.0,18506.8,10643.9,0.9765,3848490.2,0.0,10.73
Q,0,1,33554432,20,81.438,343818080,29869.5,320569,0.0,19684.6,11097.9,0.9754,3980142.3,0.0,10.73
Q,0,1,33554432,21,81.428,343858656,21583.2,231630,0.0,13419.7,8732.3,0.9806,3183697.4,0.0,10.73
Q,0,1,33554432,22,81.427,343862784,15111.4,162164,0.0,9971.0,5618.3,0.9874,2838317.8,0.0,10.73
Q,0,1,33554432,23,81.431,343846048,29719.8,318944,0.0,22064.6,8947.5,0.9801,3946636.3,0.0,10.73
Q,0,1,33554432,24,81.44,343807488,30140.7,323481,0.0,20136.9,11422.4,0.9747,4009881.6,0.0,10.73
Q,0,1,33554432,25,81.465,343701280,27664.4,296907,0.0,17406.7,10872.2,0.9759,3727640.1,0.0,10.73
